apparel|clothing
arrived in the UK|be UK omadam!
articulate|having or showing the ability to speak fluently and coherently, having joints or jointed segments, pronounce (something) clearly and distinctly, form a joint
attainment|the action or fact of achieving a goal towards which one has worked.
bell pepper|felfel dolme
caucasian|white skinned of european origin
clothes airer|khoshkon lebas
colander|aab kesh
concede|1.admin or agree that something is true after first denying it or resisting it/2.surrender or yiel (a possesion,right or privilege)
congregation|a group of people assembled for religious worship
conscientiously|in a through and responsible way, in a way that is motivated by one's moral sense of right and wrong
contemptuous|showing contempt, scornful
cultivation|the process of trying to acquire or develop a quality of skill
Diced meat|goosht tike tike shode
dish rack|khoshkon zarf
ensare|catch in or as in a trap
euphemism|a mild of indirect word or expression substituted for one considered to be too harsh or blunt when referring to something unpleasent or embarrasing
every cloud has a silver lining|every difficult or sad situation has a comforting or more hopeful aspect, even though this may not be immediately apparent.
flounder|struggle mentally, show or feel great confusion
fraternity|a group of people sharing a common profession or interests
grater|rande
grit|small loose particles of stone or sand
hanger|choob rakhti
hob|ojagh gaz
household cleaning gloves|dastkesh ashpazkhoone
incumbent|necessary for (someone) as a duty or responsibility
inquisitive|having or showing an interest in learning things, curious
interstitial|an advertisement that appears while a chosen website or page is downloading
it still has|it still has
lady pad|navar behdashti
Minced meat|goosht charkh karde
monetize|earn revenue from, convert into or express in the form of currency
palpable|(of a feeling or atmosphere) so intense as to seem almost tangible
parishioner|an inhabitant of a particular church parish, especially one who is a regular churchgoer
parsley|jafari
plethora|a large or excessive amount of something
presumptous|(of a person or their behaviour) failing to observe the limits of what is permitted or appropriate
reinvigorate|give new energy or strength to
scourer|skatch ashpazkhoone
scrutiny|critical observation or examination
shower caddy|sabad hamoom
succintcly|in a brief and clearly expressed manner
tenacity|the quality or fact if being able to grip something firmly; grip
turmeric|zard choobe
vernacular|the language or dialect spoken by the ordinary people in a particular country or region
voracious|wanting or devouring great quantities of food, engaging in an acitivity with greater eagerness or enthusiasm
with a pinch of salt|you do not believe that it is completely accurate
